attachment_id,source_filename,source_format,target_format,width,height,conversion_status
430,2024/04/Dr-Jart-Vitamin-C-Face-Mask.avif,avif,webp,600,600,NOT_STARTED
431,2024/04/Dr-Jart-Hyaluronic-Face-Mask.avif,avif,webp,1000,1000,NOT_STARTED
1845,2024/05/The-Ordinary-Retinol-Serum-1-30Ml.avif,avif,webp,1500,1500,NOT_STARTED
1905,2024/05/Frudia-Ultra-Uv-Shield-Essence-50.avif,avif,webp,1280,1280,NOT_STARTED
1945,2024/05/Aveeno-Baby-Daily-Moisture-Cream.avif,avif,webp,800,800,NOT_STARTED
3636,2024/09/Vaseline-Cocoa-Radiant-Oil-Gel-200ml-309900.avif,avif,webp,300,300,NOT_STARTED
10503,2025/05/BASE_MATTIFIANT.avif,avif,webp,178,178,NOT_STARTED
17544,2026/01/aquaphor-lip-repair.avif,avif,webp,1200,1200,NOT_STARTED
25416,2026/07/eos-toasted-marshmellow.avif,avif,webp,573,573,NOT_STARTED
1048,2024/04/Cerave-Hydrating-Cleanser-8Fl.avif,avif,webp,1280,1280,NOT_STARTED
1158,2024/04/Cosrx-The-Retinol-0.1Cream-20Ml.avif,avif,webp,1500,1500,NOT_STARTED
1159,2024/04/Cosrx-The-Retinol-0.1Cream-20Ml-1.avif,avif,webp,1500,1500,NOT_STARTED
1234,2024/04/Makeup-Forever-Mist-And-Fix-Spray-100Ml.avif,avif,webp,1500,1500,NOT_STARTED
3637,2024/09/Vaseline-Cocoa-Radiant-Oil-Gel-200ml-309900-1.avif,avif,webp,600,600,NOT_STARTED
