fingerprint,record_count,source_type,source_id,attachment_id,usage_type,source_filename,classification
ce4af3a10d03e48f,2,product,349,397,product_featured,2024/04/Beauty-Line-By-Didi-Brow-Gasm-Eye-Brow-Pencil.webp,SHARED
ce4af3a10d03e48f,2,page,629,397,page_image,2024/04/Beauty-Line-By-Didi-Brow-Gasm-Eye-Brow-Pencil.webp,SHARED
a1525ea7b7f9a5f6,2,product,331,3866,product_featured,2024/04/51fzAcW78WL._SL1500_.jpg,SHARED
a1525ea7b7f9a5f6,2,product,331,3866,product_featured,2024/04/51fzAcW78WL._SL1500_.jpg,SHARED
27ed0fbf91fa80de,2,product,52,1953,product_featured,2024/05/Yanga-Beauty-Concealer-2.webp,SHARED
27ed0fbf91fa80de,2,product,52,1953,product_featured,2024/05/Yanga-Beauty-Concealer-2.webp,SHARED
a88470390ecd3ebd,2,product,51,1831,product_featured,2024/05/Yanga-Beauty-Setting-Powder.jpg,SHARED
a88470390ecd3ebd,2,product,51,1831,product_featured,2024/05/Yanga-Beauty-Setting-Powder.jpg,SHARED
2bd6f89389a35277,2,product,35,760,product_featured,2024/04/belle.jpg,SHARED
2bd6f89389a35277,2,variant,757,760,variant_image,2024/04/belle.jpg,SHARED
194e9e33ed74c3bb,2,product,34,762,product_featured,2024/04/khaki.jpg,SHARED
194e9e33ed74c3bb,2,variant,759,762,variant_image,2024/04/khaki.jpg,SHARED
ca0c9357bdb5cc85,9,product,25,5958,product_gallery,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
ca0c9357bdb5cc85,9,variant,909,5958,variant_image,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
ca0c9357bdb5cc85,9,variant,910,5958,variant_image,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
ca0c9357bdb5cc85,9,variant,911,5958,variant_image,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
ca0c9357bdb5cc85,9,variant,912,5958,variant_image,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
ca0c9357bdb5cc85,9,variant,913,5958,variant_image,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
ca0c9357bdb5cc85,9,variant,914,5958,variant_image,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
ca0c9357bdb5cc85,9,variant,915,5958,variant_image,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
ca0c9357bdb5cc85,9,variant,916,5958,variant_image,2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,SHARED
b266774e23b436d1,2,product,22,928,product_featured,2024/04/Tehila-Rosy-Cheek-Blush-Palette1.jpg,SHARED
b266774e23b436d1,2,variant,926,928,variant_image,2024/04/Tehila-Rosy-Cheek-Blush-Palette1.jpg,SHARED
cb18ec387bad14c6,2,product,315,1044,product_featured,2024/04/Hadalabo-Premium-Gold-170Ml.jpg,SHARED
cb18ec387bad14c6,2,page,629,1044,page_image,2024/04/Hadalabo-Premium-Gold-170Ml.jpg,SHARED
