source_type,source_id,attachment_id,term_id,product_id,variation_id,source_url,source_filename,mime_type,extension,file_size,width,height,hash,usage_type,target_filename,target_format,target_location,conversion_required,conversion_status,validation_status,migration_status,notes
product,365,933,,365,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Razor-Blade-1.webp,2024/04/Razor-Blade-1.webp,image/webp,webp,19084,600,600,5f85c415be026c67,product_featured,product-933-razor-blade.webp,webp,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,362,384,,362,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Luzta-Eye-Shadow-Bougie-Palette.jpg,2024/04/Luzta-Eye-Shadow-Bougie-Palette.jpg,image/jpeg,jpg,151268,1218,1196,4e5b3dc543175840,product_featured,product-384-luzta-eye-shadow-bougie-palette.jpg,jpg,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,359,386,,359,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Mabrook-Brow-Pencil.png,2024/04/Mabrook-Brow-Pencil.png,image/png,png,41265,630,630,4208b2b464a71721,product_featured,product-386-mabrook-brow-pencil.png,png,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,357,388,,357,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Becharm-Clown-White.jpg,2024/04/Becharm-Clown-White.jpg,image/jpeg,jpg,510841,1013,1013,df2a28dc2afa34b3,product_featured,product-388-becharm-clown-white.jpg,jpg,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,356,389,,356,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Beauty-Line-By-Didi-Mascare-Shield.webp,2024/04/Beauty-Line-By-Didi-Mascare-Shield.webp,image/webp,webp,18768,1500,1500,a6ce2ebc25269061,product_featured,product-389-beauty-line-by-didi-mascare-shield.webp,webp,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,355,390,,355,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Beauty-Line-By-Didi-Sharpner.jpg,2024/04/Beauty-Line-By-Didi-Sharpner.jpg,image/jpeg,jpg,212754,768,768,e0ab38dc89891ee9,product_featured,product-390-beauty-line-by-didi-sharpner.jpg,jpg,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,354,391,,354,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Beauty-Line-By-Didi-Ultra-Matte-Brow-Gel.jpg,2024/04/Beauty-Line-By-Didi-Ultra-Matte-Brow-Gel.jpg,image/jpeg,jpg,69572,1080,1080,eb435358e13f9331,product_featured,product-391-beauty-line-by-didi-ultra-matte-brow-gel.jpg,jpg,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,352,393,,352,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Beauty-Line-By-Didi-Liquid-Pen-Eyeliner.jpg,2024/04/Beauty-Line-By-Didi-Liquid-Pen-Eyeliner.jpg,image/jpeg,jpg,30721,1500,1500,7337ec85cab25c3b,product_featured,product-393-beauty-line-by-didi-liquid-pen-eyeliner.jpg,jpg,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,351,394,,351,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Beauty-Line-By-Didi-Inked-Liquid-Liner.webp,2024/04/Beauty-Line-By-Didi-Inked-Liquid-Liner.webp,image/webp,webp,33008,1800,1800,14d1dfb4d7bb5721,product_featured,product-394-beauty-line-by-didi-inked-liquid-liner.webp,webp,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
product,349,397,,349,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Beauty-Line-By-Didi-Brow-Gasm-Eye-Brow-Pencil.webp,2024/04/Beauty-Line-By-Didi-Brow-Gasm-Eye-Brow-Pencil.webp,image/webp,webp,8710,1080,1080,ce4af3a10d03e48f,product_featured,product-397-beauty-line-by-didi-brow-gasm-eye-brow-pencil.webp,webp,shopify_product_media,False,NOT_REQUIRED,FOUND,PENDING,
