attachment_id,source_filename,mime_type,extension,reason
430,2024/04/Dr-Jart-Vitamin-C-Face-Mask.avif,image/avif,avif,AVIF not supported - needs conversion
431,2024/04/Dr-Jart-Hyaluronic-Face-Mask.avif,image/avif,avif,AVIF not supported - needs conversion
1048,2024/04/Cerave-Hydrating-Cleanser-8Fl.avif,image/avif,avif,AVIF not supported - needs conversion
1158,2024/04/Cosrx-The-Retinol-0.1Cream-20Ml.avif,image/avif,avif,AVIF not supported - needs conversion
1159,2024/04/Cosrx-The-Retinol-0.1Cream-20Ml-1.avif,image/avif,avif,AVIF not supported - needs conversion
1234,2024/04/Makeup-Forever-Mist-And-Fix-Spray-100Ml.avif,image/avif,avif,AVIF not supported - needs conversion
1845,2024/05/The-Ordinary-Retinol-Serum-1-30Ml.avif,image/avif,avif,AVIF not supported - needs conversion
1905,2024/05/Frudia-Ultra-Uv-Shield-Essence-50.avif,image/avif,avif,AVIF not supported - needs conversion
1945,2024/05/Aveeno-Baby-Daily-Moisture-Cream.avif,image/avif,avif,AVIF not supported - needs conversion
2261,2024/07/Product-weights-new.csv,text/csv,csv,not an image/video file - review whether it belongs in the media library at all
3636,2024/09/Vaseline-Cocoa-Radiant-Oil-Gel-200ml-309900.avif,image/avif,avif,AVIF not supported - needs conversion
3637,2024/09/Vaseline-Cocoa-Radiant-Oil-Gel-200ml-309900-1.avif,image/avif,avif,AVIF not supported - needs conversion
7330,2025/01/yglam-2.html,text/html,html,not an image/video file - review whether it belongs in the media library at all
7331,2025/01/yglam-2-1.html,text/html,html,not an image/video file - review whether it belongs in the media library at all
10503,2025/05/BASE_MATTIFIANT.avif,image/avif,avif,AVIF not supported - needs conversion
17544,2026/01/aquaphor-lip-repair.avif,image/avif,avif,AVIF not supported - needs conversion
23522,2026/06/Baobab-Glow-C-Serum-Vitamin-C-30ml-_-Uncoverskincare-–-Uncover-Skincare.html,text/html,html,not an image/video file - review whether it belongs in the media library at all
25416,2026/07/eos-toasted-marshmellow.avif,image/avif,avif,AVIF not supported - needs conversion
