woo_product_id,woo_category_or_brand,resolved_collection_handle,resolution_status
17,Face,face,RESOLVED
17,Foundation,,UNMAPPED
17,Vee Beauty,vee-beauty,RESOLVED
18,Face,face,RESOLVED
18,Foundation,,UNMAPPED
18,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
18,Vee Beauty,vee-beauty,RESOLVED
19,Lips,lips,RESOLVED
19,Lip Gloss,,UNMAPPED
19,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
19,Vee Beauty,vee-beauty,RESOLVED
20,Face,face,RESOLVED
20,Concealer,,UNMAPPED
20,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
20,Vee Beauty,vee-beauty,RESOLVED
22,Face,face,RESOLVED
22,Blushes,,UNMAPPED
22,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
22,Tehila,tehila,RESOLVED
23,Face,face,RESOLVED
23,Highlight &amp; Contour,,UNMAPPED
23,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
23,Tehila,tehila,RESOLVED
24,Face,face,RESOLVED
24,Blushes,,UNMAPPED
24,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
24,Tehila,tehila,RESOLVED
25,Face,face,RESOLVED
25,Foundation,,UNMAPPED
25,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
25,Sylvimak,sylvimak,RESOLVED
28,Face,face,RESOLVED
28,Bronzers &amp; Highlighters,,UNMAPPED
28,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
28,TM Essentials,tm-essential,RESOLVED
34,Lips,lips,RESOLVED
34,Lip Gloss,,UNMAPPED
34,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
34,Beauty by AD,beauty-by-ad,RESOLVED
35,Lips,lips,RESOLVED
35,Lipstain,,UNMAPPED
35,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
35,Beauty by AD,beauty-by-ad,RESOLVED
49,Face,face,RESOLVED
49,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
49,Powder,,UNMAPPED
49,Merak,merak,RESOLVED
50,Eyes,eyes,RESOLVED
50,Eyeliner,,UNMAPPED
50,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
50,Merak,merak,RESOLVED
51,Face,face,RESOLVED
51,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
51,Powder,,UNMAPPED
51,Yanga Beauty,yanga-beauty,RESOLVED
52,Face,face,RESOLVED
52,Concealer,,UNMAPPED
52,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
52,Yanga Beauty,yanga-beauty,RESOLVED
53,Face,face,RESOLVED
53,Makeup,,EXPECTED_NAV_ONLY_NOT_A_COLLECTION
53,Powder,,UNMAPPED
