handle,name,type,group_or_rule,planned_product_count,exists_in_shopify,members_already_imported,members_import_ready,members_quarantined,members_excluded,notes
face,Face,category,Makeup,91,NO,91,0,0,0,
eyes,Eyes,category,Makeup,60,NO,60,0,0,0,
lips,Lips,category,Makeup,27,NO,27,0,0,0,
brushes-beauty-blenders,Brushes & Beauty Blenders,category,Makeup,15,NO,15,0,0,0,
serums-treatment,Serums & Treatment,category,Skin Care,89,NO,104,0,0,0,
moisturizers,Moisturizers & Cream,category,Skin Care,63,NO,63,0,0,0,
face-cleansers-wash,Face Cleansers & Wash,category,Skin Care,43,NO,43,0,0,0,
face-toners-mist-essence,"Face Toners, Mist & Essence",category,Skin Care,37,NO,37,0,0,0,
sunscreen,Sunscreen,category,Skin Care,32,NO,32,0,0,0,
brightening,Brightening,category,Skin Care,32,NO,32,0,0,0,
hyperpigmentation,Hyperpigmentation,category,Skin Care,21,NO,21,0,0,0,
exfoliators-peels-scrubs,"Exfoliators, Peels & Scrubs",category,Skin Care,20,NO,20,0,0,0,
acne-treatment,Acne Treatment,category,Skin Care,25,NO,25,0,0,0,
face-mask,Mask,category,Skin Care,4,NO,4,0,0,0,
face-oil,Face Oil,category,Skin Care,1,NO,1,0,0,0,
body-lotion,Body Lotion,category,Bath & Body Care,63,NO,63,0,0,0,
body-wash,Body Wash,category,Bath & Body Care,54,NO,54,0,0,0,
body-moisturizers,Body Moisturizers,category,Bath & Body Care,34,NO,34,0,0,0,
body-oil,Body Oil,category,Bath & Body Care,18,NO,18,0,0,0,
body-care,Body Care,category,Bath & Body Care,18,NO,18,0,0,0,
body-scrubs,Body Scrubs,category,Bath & Body Care,7,NO,7,0,0,0,
body-butter,Body Butter,category,Bath & Body Care,9,NO,9,0,0,0,
baby-wash-lotion,Baby Wash & Lotion,category,Bath & Body Care,8,NO,8,0,0,0,
roll-on,Roll On,category,Bath & Body Care,2,NO,2,0,0,0,
body-mist,Body Mist,category,Bath & Body Care,2,NO,2,0,0,0,
tools-accessories,Tools & Accessories,category,Beauty Tools,23,NO,19,0,4,0,
olay,Olay,brand,vendor equals 'Olay',28,NO,28,0,0,0,
eos,Eos,brand,vendor equals 'Eos',26,NO,25,0,1,0,
zaron,Zaron,brand,vendor equals 'Zaron',25,NO,25,0,0,0,
naturium,Naturium,brand,vendor equals 'Naturium',22,NO,22,0,0,0,
good-molecules,Good Molecules,brand,vendor equals 'Good Molecules',20,NO,20,0,0,0,
hegai-esther,Hegai & Esther,brand,vendor equals 'Hegai & Esther',16,NO,16,0,0,0,
msmetics,Msmetics,brand,vendor equals 'Msmetics',15,NO,15,0,0,0,
vee-beauty,Vee Beauty,brand,vendor equals 'Vee Beauty',15,NO,15,0,0,0,
25-pskyn,25 Pskyn,brand,vendor equals '25 Pskyn',13,NO,8,0,5,0,
cosrx,Cosrx,brand,vendor equals 'Cosrx',13,NO,13,0,0,0,
dr-teals,Dr Teal's,brand,vendor equals 'Dr Teal's',13,NO,13,0,0,0,
advanced-clinicals,Advanced Clinicals,brand,vendor equals 'Advanced Clinicals',11,NO,11,0,0,0,
bm-pro,BM PRO,brand,vendor equals 'BM PRO',11,NO,11,0,0,0,
panoxyl,Panoxyl,brand,vendor equals 'Panoxyl',11,NO,11,0,0,0,
anua,Anua,brand,vendor equals 'Anua',10,NO,10,0,0,0,
beauty-line-by-didi,Beauty Line by Didi,brand,vendor equals 'Beauty Line by Didi',10,NO,9,0,1,0,
yglam,Yglam,brand,vendor equals 'Yglam',10,NO,10,0,0,0,
merak,Merak,brand,vendor equals 'Merak',9,NO,9,0,0,0,
beauty-by-ad,Beauty by AD,brand,vendor equals 'Beauty by AD',8,NO,8,0,0,0,
boj-cosmetics,BOJ Cosmetics,brand,vendor equals 'BOJ Cosmetics',7,NO,7,0,0,0,
faded,Faded,brand,vendor equals 'Faded',7,NO,5,0,0,0,
isntree,Isntree,brand,vendor equals 'Isntree',7,NO,7,0,0,0,
medix-5-5,Medix 5.5,brand,vendor equals 'Medix 5.5',7,NO,7,0,0,0,
omaricode,Omaricode,brand,vendor equals 'Omaricode',7,NO,7,0,0,0,
the-ordinary,The Ordinary,brand,vendor equals 'The Ordinary',7,NO,7,0,0,0,
tiam,Tiam,brand,vendor equals 'Tiam',7,NO,7,0,0,0,
vaseline,Vaseline,brand,vendor equals 'Vaseline',7,NO,7,0,0,0,
acwell,Acwell,brand,vendor equals 'Acwell',6,NO,5,0,0,0,
beauty-of-joseon,Beauty of Joseon,brand,vendor equals 'Beauty of Joseon',6,NO,6,0,0,0,
becharm,Becharm,brand,vendor equals 'Becharm',6,NO,6,0,0,0,
dove,Dove,brand,vendor equals 'Dove',6,NO,6,0,0,0,
la-roche-posay,La Roche-Posay,brand,vendor equals 'La Roche-Posay',6,NO,6,0,0,0,
nuban,Nuban,brand,vendor equals 'Nuban',6,NO,6,0,0,0,
