ts,action,error_signature,woo_product_id,woo_id_attribution,title,sku,shopify_product_gid,live_variant_count,tracked_variants,source_stock,live_total_quantity,comparison_basis,live_variants_tracked,difference,manage_stock,retry_occurred,retry_succeeded,classification,rationale,recommended_action,raw_error
2026-08-10T16:07:15Z,VARIANT_ERROR,OPTION_NAME_MISSING,1721,explicit_in_ledger,Ezanic Azelaic Acid Gel W/W 15G,202-1-item,gid://shopify/Product/9599852216576,2,2,1,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,2,,yes,YES,YES,B,A later VARIANT_RETRY_SUCCEEDED entry exists for woo 1721,None - retry already succeeded,"[('productOptionsCreate', [{'field': ['options', '0'], 'message': 'Must specify an option name.'}])]"
2026-08-10T16:34:40Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}]"
2026-08-10T16:34:40Z,INVENTORY_SYNC_FAILED,OTHER,124,explicit_in_ledger,Vee Beauty 9 In 1 Powder Palette,328-1-item,gid://shopify/Product/9599851364608,1,1,0,0,simple_product_1:1,1,0,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 124,None - superseded by a later successful sync,
2026-08-10T16:34:41Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,124,inferred_from_preceding_ledger_entry,Vee Beauty 9 In 1 Powder Palette,328-1-item,gid://shopify/Product/9599851364608,1,1,0,0,simple_product_1:1,1,0,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}, {'message': 'InventoryQuantityInput must include"
2026-08-10T16:34:41Z,INVENTORY_SYNC_FAILED,OTHER,17,explicit_in_ledger,Vee Beauty Second Skin Foundation,,gid://shopify/Product/9599851561216,9,9,,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,9,,no,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 17,None - superseded by a later successful sync,
2026-08-10T16:34:42Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,17,inferred_from_preceding_ledger_entry,Vee Beauty Second Skin Foundation,,gid://shopify/Product/9599851561216,9,9,,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,9,,no,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}]"
2026-08-10T16:34:42Z,INVENTORY_SYNC_FAILED,OTHER,7535,explicit_in_ledger,ACNE & BLEMISH FIGHTER SET - VALENTINE COMBO DEALS,568-1-item,gid://shopify/Product/9599851692288,1,1,6,6,simple_product_1:1,1,0,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 7535,None - superseded by a later successful sync,
2026-08-10T16:34:44Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,7535,inferred_from_preceding_ledger_entry,ACNE & BLEMISH FIGHTER SET - VALENTINE COMBO DEALS,568-1-item,gid://shopify/Product/9599851692288,1,1,6,6,simple_product_1:1,1,0,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}]"
2026-08-10T16:34:44Z,INVENTORY_SYNC_FAILED,OTHER,1687,explicit_in_ledger,Advanced Clinicals 16Oz Vit C Brightening Body Cream,223-1-item,gid://shopify/Product/9599851856128,1,1,4,4,simple_product_1:1,1,0,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 1687,None - superseded by a later successful sync,
2026-08-10T16:34:45Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,1687,inferred_from_preceding_ledger_entry,Advanced Clinicals 16Oz Vit C Brightening Body Cream,223-1-item,gid://shopify/Product/9599851856128,1,1,4,4,simple_product_1:1,1,0,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}, {'message': 'InventoryQuantityInput must include"
2026-08-10T16:34:45Z,INVENTORY_SYNC_FAILED,OTHER,70,explicit_in_ledger,Msmetics Diy Lashes,,gid://shopify/Product/9599851954432,5,5,,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,5,,no,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 70,None - superseded by a later successful sync,
2026-08-10T16:34:46Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,70,inferred_from_preceding_ledger_entry,Msmetics Diy Lashes,,gid://shopify/Product/9599851954432,5,5,,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,5,,no,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}, {'message': 'InventoryQuantityInput must include"
2026-08-10T16:34:46Z,INVENTORY_SYNC_FAILED,OTHER,22,explicit_in_ledger,Tehila Rosy Cheek Blush Palette,,gid://shopify/Product/9599852085504,2,2,1,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,2,,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 22,None - superseded by a later successful sync,
2026-08-10T16:34:47Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,22,inferred_from_preceding_ledger_entry,Tehila Rosy Cheek Blush Palette,,gid://shopify/Product/9599852085504,2,2,1,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,2,,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}, {'message': 'InventoryQuantityInput must include"
2026-08-10T16:34:47Z,INVENTORY_SYNC_FAILED,OTHER,1721,explicit_in_ledger,Ezanic Azelaic Acid Gel W/W 15G,202-1-item,gid://shopify/Product/9599852216576,2,2,1,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,2,,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 1721,None - superseded by a later successful sync,
2026-08-10T16:34:48Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,2371,inferred_from_preceding_ledger_entry,Telescopic Makeup Chair Foldable,98-1-item,NOT_LIVE,,,0,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,,,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}]"
2026-08-10T16:34:48Z,INVENTORY_SYNC_FAILED,OTHER,333,explicit_in_ledger,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 333,None - superseded by a later successful sync,
2026-08-10T16:35:37Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}]"
2026-08-10T16:35:37Z,INVENTORY_SYNC_FAILED,OTHER,124,explicit_in_ledger,Vee Beauty 9 In 1 Powder Palette,328-1-item,gid://shopify/Product/9599851364608,1,1,0,0,simple_product_1:1,1,0,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 124,None - superseded by a later successful sync,
2026-08-10T16:35:38Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,124,inferred_from_preceding_ledger_entry,Vee Beauty 9 In 1 Powder Palette,328-1-item,gid://shopify/Product/9599851364608,1,1,0,0,simple_product_1:1,1,0,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}, {'message': 'InventoryQuantityInput must include"
2026-08-10T16:35:38Z,INVENTORY_SYNC_FAILED,OTHER,17,explicit_in_ledger,Vee Beauty Second Skin Foundation,,gid://shopify/Product/9599851561216,9,9,,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,9,,no,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 17,None - superseded by a later successful sync,
2026-08-10T16:35:40Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,17,inferred_from_preceding_ledger_entry,Vee Beauty Second Skin Foundation,,gid://shopify/Product/9599851561216,9,9,,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,9,,no,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}]"
2026-08-10T16:35:40Z,INVENTORY_SYNC_FAILED,OTHER,7535,explicit_in_ledger,ACNE & BLEMISH FIGHTER SET - VALENTINE COMBO DEALS,568-1-item,gid://shopify/Product/9599851692288,1,1,6,6,simple_product_1:1,1,0,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 7535,None - superseded by a later successful sync,
2026-08-10T16:35:41Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,7535,inferred_from_preceding_ledger_entry,ACNE & BLEMISH FIGHTER SET - VALENTINE COMBO DEALS,568-1-item,gid://shopify/Product/9599851692288,1,1,6,6,simple_product_1:1,1,0,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}]"
2026-08-10T16:35:41Z,INVENTORY_SYNC_FAILED,OTHER,1687,explicit_in_ledger,Advanced Clinicals 16Oz Vit C Brightening Body Cream,223-1-item,gid://shopify/Product/9599851856128,1,1,4,4,simple_product_1:1,1,0,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 1687,None - superseded by a later successful sync,
2026-08-10T16:35:42Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,1687,inferred_from_preceding_ledger_entry,Advanced Clinicals 16Oz Vit C Brightening Body Cream,223-1-item,gid://shopify/Product/9599851856128,1,1,4,4,simple_product_1:1,1,0,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}, {'message': 'InventoryQuantityInput must include"
