woo_id,entity_type,severity,code,detail,recommended_action
333,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Dr-Jart-Hyaluronic-Face-Mask.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
334,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Dr-Jart-Vitamin-C-Face-Mask.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
1692,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Aveeno-Baby-Daily-Moisture-Cream.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
1725,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Frudia-Ultra-Uv-Shield-Essence-50.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
1795,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/The-Ordinary-Retinol-Serum-1-30Ml.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
3635,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/Vaseline-Cocoa-Radiant-Oil-Gel-200ml-309900.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
10500,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/05/BASE_MATTIFIANT.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
17491,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/01/aquaphor-lip-repair.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
25371,product,HIGH,avif_primary_image,featured image https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/07/eos-toasted-marshmellow.avif is AVIF,Convert to WebP/JPEG before import (Phase 8 risk #16)
17,product,LOW,empty_regular_price,price=20 but regular_price is empty,Safe to import (no fake compare-at price generated) - informational
18,product,LOW,empty_regular_price,price=15 but regular_price is empty,Safe to import (no fake compare-at price generated) - informational
19,product,LOW,empty_regular_price,price=5 but regular_price is empty,Safe to import (no fake compare-at price generated) - informational
20,product,LOW,empty_regular_price,price=10 but regular_price is empty,Safe to import (no fake compare-at price generated) - informational
